_2025,Name,Name (ENG - free translation) ,Date,Date,Journalist,URL Shomrim,Subject,1ST subject ,2nd subject,3rd subject,Theme 1,Theme 2,Theme 3,Themes (numeric),Story type,Impact level,Legend: impact definition,Impact description,Impact description (ENG - free translation) ,Production,Additional outlets - tier A,Additional outlets – tier A (ENG),Additional outlets - tier B,Additional outlets – tier B (ENG)
147,"""תהיה קטסטרופה"": המשרד לביטחון לאומי לא העביר תקציב – והסיוע למכורים עלול להיפסק",Ministry of National Security Withheld Funding – and a Drug Harm Reduction Program Could Be Closed,2025-11-05,5-Nov-2025,Daniel Dolev,https://www.shomrim.news/hebrew/there-will-be-a-catastrophe,"Democratic Institutions and the Rule of Law
Marginalized Communities",Democratic Institutions and the Rule of Law,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Extreme Social Phenomena,,"1
8",Short-Term Investigative,3,Real-World Change,18.11 התקיים דיון בועדת העבודה ורווחה על הכשל בהעברת התקציב לתוכנית,"Nov 18, The Labor and Welfare Committee held a discussion regarding the failure to transfer the budget for the program. 
Following publication of this article, a group of parliamentarians, led by MK Meirav Ben Ari (Yesh Atid), initiated a discussion on the matter at the Knesset Labor and Welfare Committee. All those present at the meeting, including committee chair MK Michal Woldiger (Religious Zionism), expressed their support for Yizhar’s work. The representative of the National Security Ministry, meanwhile, reiterated that the problem stemmed from the massive cut to the budget of the National Authority for Community Safety – from around 120 million shekels to just 33 million shekels. Nonetheless, after the discussion, the budget was found and the Knesset’s Finance Committee approved its transfer.",Translation,,,,
148,"המהפכה המשפטית האמיתית: כך שינה יריב לוין את הדנ""א של מערכת המשפט לשנים קדימה",The Real Judicial Overhaul: How Yariv Levin Reshaped Israel’s Legal System,2025-11-06,6-Nov-2025,Chen Shalita,https://www.shomrim.news/hebrew/levins-new-judges,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,Audio Recording,המרקר,TheMarker,,
149,"בלי אימונים – אבל עם אישורי כניסה לעסקנים: ""התפוררות מוחלטת"" במשמר הכנסת",Shomrim Investigation Exposes Lapses in Knesset Guard Security,2025-11-10,10-Nov-2025,Roni Singer,https://www.shomrim.news/hebrew/knesset-guard-dysfunction,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,כלכליסט,Calcalist,,
150,חשיפה: ארצות הברית מתכננת הקמת בסיס צבאי גדול על גבול הרצועה,Exclusive: The United States Plans to Establish a Large Military Base on the Gaza Border,2025-11-11,11-Nov-2025,"Milan Cerny, Uri Blau",https://www.shomrim.news/hebrew/american-base-gaza-border,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,"Ynet, ידיעות אחרונות, בחדרי חרדים, מעריב, Ynet ENG, כלכליסט, Bloomberg, The Times of Israel","Ynet, Yedioth Ahronoth, B’Hadrei Haredim, Maariv, Ynet ENG, Calcalist, Bloomberg, The Times of Israel",The Japan Times,The Japan Times
151,תקציבי הישיבות החרדיות חושפים: מי בלחץ מחוק הגיוס ואילו ישיבות ממש לא,After the Budget Axe: What Funding Cuts Mean for Israel’s Yeshivas,2025-11-13,13-Nov-2025,Lir Spiriton,https://www.shomrim.news/hebrew/budgets-of-haredi-yeshivahs,"Democracy & Society
Marginalized Communities",Democracy & Society,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Extreme Social Phenomena,"1
4
8",Short-Term Investigative,1,Media Amplification,,,Translation,מאקו,Mako,,
152,נוחי ודני דנקנר מתכוונים לפנות לבית המשפט: חשש לניצול פיננסי של דודתינו בת ה-100 ששוהה במעון טיפולי,Nochi and Danny Dankner Head to Court Over Fears of Financial Exploitation of Their 100-Year-Old Aunt,2025-11-16,16-Nov-2025,Uri Blau,https://www.shomrim.news/hebrew/dankner-ichilov-donation,Democracy & Society,Democracy & Society,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Judicial System & Courts,"1
4
3","Short-Term Investigative,
Follow-Up",1,Media Amplification,,,,כלכליסט,Calcalist,,
153,"תחקיר בינלאומי: כך פועלת ""מכבסת הכספים"" - מבורסות הקריפטו לחשבונות חמאס, איראן וקרטלי הסמים","Unmasking the ‘Coin Laundry’: The Global Crypto-Laundering Network Linking Hamas, Iran and Drug Cartels",2025-11-17,17-Nov-2025,Uri Blau,https://www.shomrim.news/hebrew/the-coin-laundry,"October 7 War
Economy, Finance, Inequality, Poverty",October 7 War,"Economy, Finance, Inequality, Poverty",,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Extreme Social Phenomena,"1
4
8",Investigative,1,Media Amplification,,,Translation,ICIJ,ICIJ,,
154,הצרות החדשות של יישובי העוטף - להקות כלבים משוטטים מאיימות על התושבים,New Troubles for Border Communities: Packs of Stray Dogs,2025-11-19,19-Nov-2025,Haim Rivlin,https://www.shomrim.news/hebrew/stray-dogs-western-negev,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Extreme Social Phenomena,,"1
8",Short-Term Investigative,"1,3","Media Amplification, Stakeholder Reaction","בינואר 2026, פרסם משרד החקלאות וביטחון המזון מסלול סיוע ייעודי לרשויות מקומיות לשנים, בעלות של 15 מיליון שקלים, שנועד לאפשר שדרוג ביכולות הטיפול והקליטה של הכלביות העירוניות חלק הניסיון להתמודד עם תופעת הכלבים המשוטטים ומחלת הכלבת, שהתגברו מאוד מאז תחילת המלחמה.","In January 2026, the Ministry of Agriculture and Food Security published a dedicated assistance program for local authorities, with a budget of 15 million shekels. The program is intended to enable upgrades to the treatment and intake capacities of municipal dog shelters, as part of an effort to address the phenomenon of stray dogs and rabies, which have intensified significantly since the beginning of the war.",,Ynet,Ynet,,
155,"לא רק ""מלחמת התקומה"": כך משתלט נתניהו על הנצחת שבעה באוקטובר ועיצוב הזיכרון הלאומי",How Netanyahu’s Government Is Rewriting the Memory of October 7,2025-11-20,20-Nov-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/october-seven-memory-battle,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,"Translation, Audio Recording",N12,N12,,
156,חשיפה: המעבדה המרכזית של משרד הבריאות הפסיקה לבצע בדיקות לזיהום במי השתיה,Exposed: Israel’s Central Health Lab Stopped Testing Drinking Water for Contamination,2025-11-23,23-Nov-2025,Haim Rivlin,https://www.shomrim.news/hebrew/central-lab-disabled,"Health, Environment & Transportation","Health, Environment & Transportation",,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Short-Term Investigative,,,,,,,,,
157,"הסמכויות יישארו גם אחרי המלחמה: צה""ל ושב""כ ימשיכו לחדור למצלמות פרטיות",Defense Ministry Pushes Legal Amendment to Enshrine Wartime Powers Allowing Access to Private Cameras - Even in Peacetime,2025-11-23,23-Nov-2025,Uri Blau,https://www.shomrim.news/hebrew/security-cameras-monitored,"October 7 War
Democratic Institutions and the Rule of Law
Human Rights & Democratic Values",October 7 War,Democratic Institutions and the Rule of Law,Human Rights & Democratic Values,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,,,,
158,המאבק על הסיוע ההומניטרי: ישראל חסמה תשעה ארגונים מעזה – ללא נימוק מפורט,The Battle Over Humanitarian Aid: Israel Bars Nine Organizations From Gaza Without Detailed Explanation,2025-11-26,26-Nov-2025,Uri Blau,https://www.shomrim.news/hebrew/chikli-and-aid-to-gaza,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,,,,
159,מאות מיליוני שקלים בחודש: כך חמאס מחזיר לעצמו שליטה כלכלית ברצועה,A Multimillion-dollar Tax Bonanza: How Hamas Took Back Economic Control of the Gaza Strip,2025-11-28,28-Nov-2025,"Milan Cerny, Uri Blau",https://www.shomrim.news/hebrew/hamas-in-control-of-gaza,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,,"1
2",Short-Term Investigative,1,Media Amplification,,,"Translation, Audio Recording",,,,
160,"התוכנית של מאי גולן ובן גביר לחיסול תוכנית החומש לחברה הערבית: 677 מיליון יקוצצו מהחינוך, 200 מיליון מהתחבורה, 142 מיליון מהרווחה",Pillaging the Five-Year Plan: Ministers Seek to Divert Funding from Arab Society to the Police and Shin Bet,2025-12-03,3-Dec-2025,Haim Rivlin,https://www.shomrim.news/hebrew/may-golan-ben-gvir-plan,Marginalized Communities,Marginalized Communities,,,Arab Society,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,"7
1
4",Short-Term Investigative,1,Media Amplification,,,Translation,,,,
161,"הקואליציה נגד ""שלטון בג""ץ""? בן גביר עתר לבג״ץ 31 פעמים, ח""כים ביקשו מהשופטים לפסול חוקים ולהתערב בנושאי חוץ וביטחון",Coalition vs. the Supreme Court? Ben-Gvir Has Petitioned It 31 Times,2025-12-05,5-Dec-2025,Chen Shalita,https://www.shomrim.news/hebrew/court-petitions-ranking,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Feature,1,Media Amplification,,,,המרקר,TheMarker,,
162,"מחוץ לקופסה: ראש המוסד המיועד הציע בעבודה אקדמית לחמש את מצרים, סעודיה וטורקיה בנשק גרעיני",Thinking Outside the Box: Israel’s Incoming Mossad Chief Once Proposed Arming Arab States With Nuclear Weapons,2025-12-08,8-Dec-2025,Uri Blau,https://www.shomrim.news/hebrew/gofman-academic-ideas,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,Ynet,Ynet,,
163,"הרחוב החרדי זועם, הפוליטיקאים מפמפמים לו את המסר: ""אתם ישראל השנייה""",Israel’s Ultra-Orthodox Street Is Fuming as Leaders Stoke a Victimhood Narrative,2025-12-09,9-Dec-2025,Lir Spiriton,https://www.shomrim.news/hebrew/haredi-campaign-has-begun,"Marginalized Communities
Democracy & Society",Marginalized Communities,Democracy & Society,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Military & Reserve Forces,"1
4
2",Feature,,,,,Translation,,,,
164,אפקט ממדאני? חברות אמריקאיות לא הסכימו לפרסם קמפיינים של מדינת ישראל בטיימס סקוור,Most Advertising Agencies Declined to Run Israeli Campaigns in Times Square,2025-12-11,11-Dec-2025,Uri Blau,https://www.shomrim.news/hebrew/israel-and-times-square,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,Translation,כלכליסט,Calcalist,,
165,"לאחר חשיפת שומרים: התקציב לסיוע למכורים לסמים הועבר - הפעילות בת""א תמשיך",After Shomrim Exposé: Funding for Drug Addiction Aid Released,2025-12-11,11-Dec-2025,Daniel Dolev,https://www.shomrim.news/hebrew/ishr-program-continues,"Democratic Institutions and the Rule of Law
Marginalized Communities",Democratic Institutions and the Rule of Law,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,Extreme Social Phenomena,"1
6
8",Follow up to #128,3,Real-World Change,,"Following publication of this article, a group of parliamentarians, led by MK Meirav Ben Ari (Yesh Atid), initiated a discussion on the matter at the Knesset Labor and Welfare Committee. All those present at the meeting, including committee chair MK Michal Woldiger (Religious Zionism), expressed their support for Yizhar’s work. The representative of the National Security Ministry, meanwhile, reiterated that the problem stemmed from the massive cut to the budget of the National Authority for Community Safety – from around 120 million shekels to just 33 million shekels. Nonetheless, after the discussion, the budget was found and the Knesset’s Finance Committee approved its transfer.",Translation,,,,
166,"המדינה הפכה אותם למכורים - ועכשיו גומלת אותם בכפייה: ""נאלצתי לקנות פנטניל בטלגרם""",The State Made Them Addicted - Now It’s Forcing Them Into Treatment,2025-12-12,12-Dec-2025,Daniel Dolev,https://www.shomrim.news/hebrew/fentanyl-on-telegram,"Democracy & Society
Marginalized Communities
Health-Welfare",Democracy & Society,Marginalized Communities,Health-Welfare,Gatekeepers/Watchdog Institutions,Water & Infrastructure,Extreme Social Phenomena,"1
6
8",Investigative,1,Media Amplification,,,,Ynet,Ynet,,
167,המחטף של מאי גולן ובן גביר: 220 מיליון שקל יקוצצו מהחברה הערבית לטובת המשטרה והשב״כ,Mai Golan and Ben-Gvir’s Power Grab: $60 Million Cut From Arab Community Programs,2025-12-15,15-Dec-2025,Haim Rivlin,https://www.shomrim.news/hebrew/may-golan-ben-gvir-plan-follow,Marginalized Communities,Marginalized Communities,,,Arab Society,Gatekeepers/Watchdog Institutions,,"7
1",Follow up to #160,,,,,,,,,
168,בלי הפסקת אש: מתקפות הסייבר האיראניות הופכות לנשק אסטרטגי נגד ישראל,No Cease-Fire: Iranian Cyberattacks Are Becoming a Strategic Weapon,2025-12-16,16-Dec-2025,Milan Cerny,https://www.shomrim.news/hebrew/cyber-strategic-weapon,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,,,,,,,,,
169,"הציונות החרדית? ""זה לא שהחרדים פתאום נהיו ציוניים, הם שם בגלל הכסף והג'ובים""",Have the Haredim Embraced Zionism? “They Haven’t Suddenly Become Zionists - They’re Here for the Money and the Jobs”,2025-12-17,17-Dec-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/haredi-and-zionists,"Democracy & Society
Marginalized Communities",Democracy & Society,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Feature,,,,,Translation,,,,
170,"""אני רוצה למחוק את הנובה מהחיים שלי"": ההקלטות האחרונות של שיראל גולן",I Want to Erase the Nova Party From My Life': The Final Recordings of Shiral Golan,2025-12-19,19-Dec-2025,Yael Shani,https://www.shomrim.news/hebrew/shirel-golan-last-recordings,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Extreme Social Phenomena,Water & Infrastructure,"1
8
6",Investigative,1,Media Amplification,,"It was published in 7 Days, the weekly magazine",,ידיעות אחרונות,Yedioth Ahronoth,,
171,"מאות אלפי שקלים בחודש: המדינה רוצה להחרים את 48 ספינות המשט שנתפסו, אבל בינתיים משלמת ביוקר",Hundreds of Thousands a Month: Israel Seeks to Seize Flotilla Ships - While Paying a Heavy Price,2025-12-21,21-Dec-2025,Uri Blau,https://www.shomrim.news/hebrew/sumud-ships,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Judicial System & Courts,"1
4
3",Short-term Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
172,"האודישנים, הקידומים, הלחצים: כך הפך בן גביר את המינויים במשטרה לכלי פוליטי",How Ben-Gvir Turned Police Appointments Into a Political Tool,2025-12-24,24-Dec-2025,Chen Shalita,https://www.shomrim.news/hebrew/ben-gvir-police,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Judicial System & Courts,"1
4
3",Feature,,,,,,,,,
173,"ההנהגה החרדית רומזת לראשי ישיבות הנושרים: אתם תדרשו למלא את מכסות הגיוס לצה""ל",Haredi Leadership to Dropout Yeshivas: You Must Meet the IDF Quota,2025-12-27,27-Dec-2025,Lir Spiriton,https://www.shomrim.news/hebrew/drop-out-yeshivas,"Marginalized Communities
Democratic Institutions and the Rule of Law",Marginalized Communities,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,Extreme Social Phenomena,"1
2
8",Follow up,,,,,Translation,,,,
174,"""אם תחזרו נהרוג אתכם"": אלימות המתנחלים חוצה גם לשטחים שבשליטה פלסטינית",“If You Come Back - We’ll Kill You”: Settler Violence Crosses Over Into Palestinian-Controlled Parts of the West Bank,2025-12-29,29-Dec-2025,Daniel Dolev,https://www.shomrim.news/hebrew/settler-violence,"Marginalized Communities
Human Rights & Democratic Values",Marginalized Communities,Human Rights & Democratic Values,,Gatekeepers/Watchdog Institutions,Land/Planning,Democratic Values/Institutional Norms,"1
5
4",Investigative,,,,,Translation,,,,
175,"מסחרת המגרשים של בעלי הנחלות: 100 אלף שקלים ""להמלצה"" על חצי דונם לבנייה","The Land-Plot Racket: $27,000 for a 'Recommendation' on Half an Acre",2025-12-31,31-Dec-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/landowners-recommendation-price,"Economy, Finance, Inequality, Poverty","Economy, Finance, Inequality, Poverty",,,Gatekeepers/Watchdog Institutions,Land/Planning,Judicial System & Courts,"1
5
3",Investigative,2,Stakeholder Reaction,,"Following an inquiry by Shomrim, the Registrar of Cooperative Societies contacted members of Moshav Kfar Maimon to seek clarification regarding the materials published in the article.",,,,,
