_2025,Name,Name (ENG - free translation) ,Date,Date,Journalist,URL Shomrim,Subject,1ST subject ,2nd subject,3rd subject,Theme 1,Theme 2,Theme 3,Themes (numeric),Story type,Impact level,Legend: impact definition,Impact description,Impact description (ENG - free translation) ,Production,Additional outlets - tier A,Additional outlets – tier A (ENG),Additional outlets - tier B,Additional outlets – tier B (ENG)
31,"יאח""ה בודקת אם לפתוח בחקירה נגד NSO ופקידים במשרד הביטחון בשל עסקה למכירת רוגלות באפריקה",Police Unit Probes Possible Investigation Into NSO and Defense Officials Over Spyware Deal in Africa,2025-03-06,6-Mar-2025,Haim Rivlin,https://www.shomrim.news/hebrew/nso-africa,"Economy, Finance, Inequality, Poverty
Democratic Institutions and the Rule of Law","Economy, Finance, Inequality, Poverty",Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,Democratic Values/Institutional Norms,"1
2
4",Short-Term Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
32,כמה אנשים מתים מאופיואידים בישראל? אף אחד לא באמת יודע,How many people in Israel die from opioids? No one really knows,2025-03-10,10-Mar-2025,"Daniel Dolev, Haim Rivlin",https://www.shomrim.news/hebrew/death-from-opioids,Health,Health,,,Extreme Social Phenomena,,,8,Follow up,,,,,,,,,
33,13 ח״כים במכתב חריג לפרקליט המדינה: ערער בדחיפות על שחרורו מהכלא של עבריין המין הפסיכולוג לשעבר יובל כרמי,13 Lawmakers Urge State Prosecutor to Appeal the Release of Convicted Sex Offender Yuval Karmi,2025-03-11,11-Mar-2025,Haim Rivlin,https://www.shomrim.news/hebrew/carmi-case-follow,Marginalized Communities,Marginalized Communities,,,Judicial System & Courts,,,3,Follow up,,,,,,,,,
34,"רווק בן 30, לא אצלנו ביישוב: בן מושב דתי טוען שנדחה בוועדת הקבלה בשל חשד שהוא הומוסקסואל",A 30-Year-Old Single Man? Not in Our Community': Religious Village Rejects Applicant Over Suspected Sexual Orientation,2025-03-12,12-Mar-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/keshet-golan,"Economy, Finance, Inequality, Poverty","Economy, Finance, Inequality, Poverty",,,Land/Planning,Democratic Values/Institutional Norms,,"5
4",Follow up,,,,,,,,,
35,"""כששואלים אותי אם זה פייר שאנחנו מנצלים את המצב הרגיש הזה להדתה, אני אומרת, שתפקידנו לאפשר לזה לקרות""","When Asked If It’s Fair to Exploit This Sensitive Situation for Religious Indoctrination, I Say: That’s Our Job to Make it Possible'",2025-03-13,13-Mar-2025,Chen Shalita,https://www.shomrim.news/hebrew/faith-or-stress,October 7 War,October 7 War,,,Extreme Social Phenomena,Democratic Values/Institutional Norms,,"8
4",Feature,,,,,,,,,
36,מסלול הבגידה: מנגנון גיוס המרגלים של איראן והצעירים הישראלים שעל הכוונת,The Path to Betrayal: How Iran Recruits Israeli Youths as Spies,2025-03-19,19-Mar-2025,Milan Cerny,https://www.shomrim.news/hebrew/iran-spies-in-israel,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,,,4,Investigative,,,,,,,,,
37,"חשיפה: כך חדר הכסף הקטארי לתוכניות לימוד על ישראל בבתי ספר יסודיים בארה""ב",Follow the Money: Qatar’s Hidden Hand in U.S. Education,2025-03-20,20-Mar-2025,Haim Rivlin,https://www.shomrim.news/hebrew/qatari-money-usa,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,"Translation, Audio Recording",Ynet,Ynet,ערוץ 10,Channel 10
38,חשיפה: החוזה של הלוביסט האמריקאי חייב אותו להעביר את העסקת פלדשטיין לאישור קטאר,Qatargate: Contract Reveals that Qatari Approval Prerequisite for Nentanyahu's Spokesperson Hiring,2025-03-24,24-Mar-2025,Uri Blau,https://www.shomrim.news/hebrew/footlilk-feldsrein,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,Translation,"Ynet, ידיעות אחרונות, הארץ","Ynet, Yedioth Ahronoth, Haaretz",,
39,"האיום אחרי 5 חודשי מילואים בעזה: קנס של 5,000 שקל אם לא תגיע לעוד סבב שירות","After Five Months of Gaza Reserve Duty: A Threat of a $1,300 Fine for Skipping the Next Call-Up",2025-03-26,26-Mar-2025,Uri Blau,https://www.shomrim.news/hebrew/miluim-threats,"Democracy & Society
October 7 War",Democracy & Society,October 7 War,,Military & Reserve Forces,Democratic Values/Institutional Norms,,"2
4",Short-Term Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,מתחת לראדר,Under the Radar
40,מסמך בלעדי: שומרים חושף את הפרוטוקולים של המשטרה לאישור מסיבת הנובה,Exclusive Document: Shomrim Reveals Police Protocols Approving the Nova Festival,2025-03-27,27-Mar-2025,Roni Singer,https://www.shomrim.news/hebrew/nova-police-protocols,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,,,1,Explanatory,1,Media Amplification,,,,"Ynet, גלצ","Ynet, Galatz (Army Radio)",,
